File,ImageJ,LeafDoctor,APSAssess
1,26.78,27.16,26.11
2,15.53,16.25,15.17
3,8.38,9.42,9.71
6,14.30,13.32,11.70
7,3.78,3.30,3.11
8,17.53,17.04,17.35
10,24.32,24.17,23.39
11,16.31,15.79,15.81
12,14.81,14.36,14.93
13,13.64,13.93,13.67
15,57.53,55.76,60.20
16,34.50,33.33,33.64
17,25.41,24.36,27.97
18,31.83,32.84,32.81
19,15.87,14.65,18.41
20,32.04,31.99,32.48
21,45.20,45.46,45.68
22,58.56,57.95,63.42
26,2.96,3.85,3.04
29,1.89,2.91,0.90
31,14.85,15.52,15.34
32,2.51,3.10,2.85
34,47.29,49.72,47.24
35,0.42,1.71,0.54
36,33.25,33.17,33.98
37,19.07,18.60,21.20
38,35.63,35.29,33.94
39,58.52,57.45,60.58
40,30.15,30.37,30.09
41,18.59,19.55,17.65
42,21.49,22.19,21.22
44,16.19,15.29,13.94
45,41.46,41.55,38.56
46,8.43,8.31,11.47
47,53.88,53.50,56.66
48,6.05,7.55,10.90
49,22.51,23.51,26.70
50,50.22,48.77,46.03
51,37.80,37.99,40.33
52,66.70,68.05,69.75
53,37.03,38.65,36.56
54,15.41,15.03,17.58
55,35.35,34.52,35.15
56,29.06,28.91,30.18
57,48.48,48.05,50.68
58,10.02,9.68,13.22
59,1.15,1.44,1.00
60,32.45,33.21,32.29
61,23.64,23.75,27.97
62,13.10,13.91,13.28
63,49.80,49.86,48.71
64,11.65,12.31,10.33
65,18.36,18.62,16.06
68,2.64,2.55,3.38
70,11.79,12.52,13.70
72,37.83,38.33,36.45
73,38.45,39.29,35.31
74,1.26,1.37,1.76
75,71.51,72.21,68.56
76,10.11,11.60,8.80
77,29.08,29.99,35.11
79,39.58,38.84,38.38
80,60.85,60.29,62.05
81,63.91,64.62,67.52
82,75.82,74.19,76.76
83,3.80,3.97,1.00
84,83.99,83.54,84.10
86,66.35,66.98,68.92
87,42.84,41.87,44.72
88,59.01,58.44,57.79
126,7.92,8.05,8.09
127,9.48,10.28,9.30
128,9.39,9.69,6.72
129,0.49,0.83,0.32
130,47.78,47.82,46.43
131,0.78,1.44,0.23
132,49.02,48.99,46.17
133,2.33,3.64,1.46
135,6.86,6.36,6.07
136,4.49,5.98,4.42
137,8.45,9.87,9.57
138,28.55,28.52,29.42
140,6.57,7.86,10.03
143,34.29,35.06,34.95
144,41.19,42.23,43.46
145,0.63,2.72,1.06
147,27.70,26.94,24.98
149,13.16,14.42,10.16
152,9.66,10.89,12.44
153,8.50,9.12,6.99
157,15.03,15.70,15.77
158,13.89,14.89,10.71
159,10.92,12.46,7.19
160,9.57,10.15,7.92
161,4.56,5.12,3.24
162,48.96,50.33,51.06
163,3.03,4.14,2.15
164,20.32,19.61,22.22
165,25.74,25.03,30.63
166,2.41,3.50,3.84
167,2.70,3.77,1.78
168,52.80,51.61,51.46
169,21.98,22.04,25.33
175,25.64,26.41,27.21
177,0.9371733688,1.14,2.71